claim,evidenceUrl,snippet,relevance,labelDescription
13.3% of America is Black or African American.,https://minorityhealth.hhs.gov/omh/browse.aspx?lvl=4&lvlid=19,"Although African American adults are 40 percent more likely to have high blood pressure, they are less likely than non-Hispanic whites to have",0,Supports
13.3% of America is Black or African American.,https://usafacts.org/articles/covid-deaths-race-state-age-black-hispanic-white/,"Black Americans make up 13% of the US population. They make up 23% of COVID-19 deaths. · National COVID-19 death rates by race, ethnicity and age.",1,Supports
13.3% of America is Black or African American.,https://www.ahajournals.org/doi/10.1161/cir.0000000000000534,"At present, African Americans make up 13.3% of the US population and males versus 32.6% in non-Hispanic blacks in NHANES 2011 to 2014.",1,Supports
13.3% of America is Black or African American.,https://www.americanprogress.org/article/health-disparities-race-ethnicity/,African Americans or Black Americans. An African American or Black person is any individual with total or partial ancestry from any of the,1,Supports
13.3% of America is Black or African American.,https://www.americanprogress.org/article/the-top-10-most-startling-facts-about-people-of-color-and-criminal-justice-in-the-united-states/,A report by the Department of Justice found that blacks and African Americans were twice as likely to be arrested and almost four times,0,Supports
13.3% of America is Black or African American.,https://www.cdc.gov/hiv/pdf/library/reports/surveillance/cdc-hiv-surveillance-supplemental-report-vol-25-1.pdf,"9 Estimated HIV prevalence among blacks/African Americans aged ≥ 13 years, by year, sex at birth, and selected.",0,Supports
13.3% of America is Black or African American.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6265893/,"African Americans comprise 13.3% of the US population (46.3 million as African American or Black, were between the ages of 25–60 years,",1,Supports
13.3% of America is Black or African American.,https://www.nimh.nih.gov/health/statistics/major-depression,Figure 1 shows the past year prevalence of major depressive episode among U.S. adults aged 18 or older in 2020. An estimated 21.0 million adults in the United ...,0,Supports
13.3% of America is Black or African American.,https://www.pewresearch.org/fact-tank/2018/02/22/5-facts-about-blacks-in-the-u-s/,"More than 40 million black people live in the United States, making up around 13% of the nation's population. Read five facts about the U.S.",1,Supports
13.3% of America is Black or African American.,https://www.psychiatry.org/File%20Library/Psychiatrists/Cultural-Competency/Mental-Health-Disparities/Mental-Health-Facts-for-African-Americans.pdf,African Americans make up 13.3% of the US population.1 Population Distribution of Black Americans in the United States.,1,Supports
13.3% of America is Black or African American.,https://www.sba.gov/sites/default/files/Financing_Patterns_and_Credit_Market_Experiences_report.pdf,of Hispanics and Blacks attempted new financing relationships with a 13. Hispanic and Black Americans are driving the racial and ethnic wealth gaps we,0,Supports
14 percent of non US citizens are registered to vote.,https://carnegieendowment.org/2020/10/14/how-will-indian-americans-vote-results-from-2020-indian-american-attitudes-survey-pub-82929,"Seventy-two percent of registered Indian American voters plan to As of 2018, about 14 percent of the U.S. population was foreign-born.",0,Supports
14 percent of non US citizens are registered to vote.,https://time.com/4669899/illegal-citizens-voting-trump/,"On Sunday, White House Senior Advisor Stephen Miller claimed 14% of non-citizens are registered to vote. “We know for a fact, you have",1,Refutes
14 percent of non US citizens are registered to vote.,https://www.americanbar.org/groups/crsj/publications/human_rights_magazine_home/voting-in-2020/why-minority-voters-have-a-lower-voter-turnout/,"With ethnic and racial minority populations in the United States rising, compared to 15 percent of African American and 14 percent of",0,Supports
14 percent of non US citizens are registered to vote.,https://www.americanprogress.org/article/increasing-voter-participation-america/,Almost 92 million eligible Americans did not vote in the 2016 voting participation by 4.7 percentage points.14; Online registration: A,0,Supports
14 percent of non US citizens are registered to vote.,https://www.atlantamagazine.com/news-culture-articles/psa-make-sure-youre-registered-to-vote-today-to-vote-in-georgias-may-24-primary/,"Photograph by Jessica McGowan/Getty Images

We’re now just a month away from Georgia’s 2022 primary election, which will be held on May 24 and will include primary races for governor, U.S. Senate, lieutenant governor, secretary of state, attorney general, and more. But if you want to vote in that election, you need to make sure you’re registered today: Monday, April 25, 2022.

If you think you are registered to vote, double-check your registration on Georgia’s My Voter Page. It literally takes seconds and will let you confirm not only that you are indeed registered to vote in the state, but that your name, address, and other information is correct. Georgia has a “use it or lose it” law, so if you have not voted for five years, you will be deemed an “inactive” voter. After two general elections as an “inactive” voter, your registration is cancelled. If you are “inactive,” you can still vote, and voting will change your status to “active.”",0,Supports
14 percent of non US citizens are registered to vote.,https://www.brennancenter.org/our-work/analysis-opinion/non-citizens-are-not-voting-here-are-facts,Penalties for a non-citizen voting or registering to vote are severe. which claimed 14 percent of non-citizens are registered to vote.,1,Supports
14 percent of non US citizens are registered to vote.,https://www.census.gov/history/pdf/2008presidential_election-32018.pdf,"percent of voting-age citizens voted, an voting-age citizen population. 14. U.S. Census Bureau. Table 6. Reasons for Not Registering and Voting,",0,Supports
14 percent of non US citizens are registered to vote.,https://www.census.gov/history/pdf/2008presidential_election-32018.pdf,"percent of voting-age citizens voted, an voting-age citizen population. 14. U.S. Census Bureau. Table 6. Reasons for Not Registering and Voting,",0,Supports
14 percent of non US citizens are registered to vote.,https://www.gao.gov/assets/gao-14-634.pdf,"White registered voters and 81 percent of African-American 2008 and 2012 general elections; and ballot questions were not present,.",1,Supports
14 percent of non US citizens are registered to vote.,https://www.gao.gov/products/gao-14-634,What GAO Found The studies GAO reviewed on voter ownership of certain registered voters and 81 percent of African-American registered,0,Supports
14 percent of non US citizens are registered to vote.,https://www.mitchellrepublic.com/opinion/woster-why-amendment-c-should-bring-urgency-to-south-dakotans-to-vote-in-the-primary,"As a registered voter with no political party affiliation, I’ve become accustomed to paying little attention to primary elections.

I usually vote, of course. That’s what citizens do. As a registered, usually faithful, voter without a party affiliation, though, I often have one or two choices, usually local races, in primaries. Those are important, for sure. If you agree with the person who said that all politics is local, perhaps those local races are the most important. But important isn’t always the same as urgent or attention-grabbing.

This year, June 7, the primary election matters a great deal, no matter what local or statewide races are on the ballots. This primary election, a proposed constitutional amendment on the ballot would significantly alter the power of the people. Specifically, it would increase the threshold vote required in some instances for citizens to make their own laws when they don’t agree with how their elected representatives are handling the task. The proposal is Amendment C, and it’s both important and urgent.",0,Supports
14 percent of non US citizens are registered to vote.,https://www.nytimes.com/2022/06/03/opinion/texas-republicans-abbott.html,"It doesn’t sound like a majority of Texans have enjoyed Republicans’ handling of abortion. Already, we have one of the most restrictive laws in the country — and if Roe falls, we will have a trigger ban that eliminates access completely. When asked if they supported or opposed banning all abortions in the state if the Supreme Court overturns Roe, 54 percent of voters said no, with 42 percent strongly opposed. As for the constitutional carry law that passed last year — the one that means anyone 21 or older can carry a handgun without a license — a majority of Texans, along with many law enforcement officials, opposed it.

For a stretch last year, more Texans disapproved of Mr. Abbott than approved of him — a rarity since 2015. His rating bounced back this spring, to 47 percent approval vs. 41 percent disapproval. Republicans still like him — as of April, 80 percent approved.

And yet: If the measure of a leader is how he operates in a crisis, Mr. Abbott has failed at every turn — sometimes spectacularly, if such a thing can be said. Some examples: The freeze in February 2021 that officially killed 246 Texans, though the real toll was likely far higher, while donors to his energy company made off like bandits. His antipathy toward vaccination mandates of almost any kind while more than 88,000 Texans died of Covid. His failure to even consider that his stance against abortion in the case of rape would cause what some think of as forced births. No worries: Mr. Abbott said that his administration would “eliminate all rapists from the streets of Texas.”",0,Supports
14 percent of non US citizens are registered to vote.,https://www.pennlive.com/opinion/2022/04/open-access-to-the-ballot-box-allow-independents-to-vote-in-primary-elections-opinion.html,"By Sen. Lisa Boscola

With primary election season upon us, it is apropos to talk about our Independent voters who are disenfranchised from these elections. For nearly 25 years, I have been a leading voice, unrelenting advocate, supporter and prime sponsor of bills to give voters unaffiliated with any party the right to participate in our primary elections. Membership in a political party (or the decision to avoid joining a political party) should not dictate whether a voter can vote in a primary.

For me it started in my first session in the House in 1996 with HB 2411 and has continued every session since, including this one with the introduction of SB 346 . This bill seeks to allow unaffiliated/Independent voters the ability to choose a primary to participate in, either Democratic or Republican. It looks like the persistence is paying off. Several similar bills have been introduced by colleagues on both sides of the aisle and grassroots organizations are speaking out in favor of changing our antiquated primary system. It comes as no surprise that Pennsylvania lags behind other states being one of only nine states that has such a restrictive system.",0,Supports
14 percent of non US citizens are registered to vote.,https://www.pewresearch.org/fact-tank/2017/06/01/dislike-of-candidates-or-campaign-issues-was-most-common-reason-for-not-voting-in-2016/,"Tens of millions of registered voters did not cast a ballot in the For nonvoters who are foreign-born U.S. citizens, the share that was",0,Supports
14 percent of non US citizens are registered to vote.,https://www.politifact.com/factchecks/2016/oct/24/donald-trump/donald-trump-wrongly-says-14-percent-noncitizens-a/,"Trump said, ""14 percent of noncitizens are registered to vote."" The Washington Post, ""Could non-citizens decide the November election?",1,Supports
14 percent of non US citizens are registered to vote.,https://www.registercitizen.com/news/article/Some-Democrats-voting-in-GOP-contests-to-block-17208674.php,"WASHINGTON (AP) — Diane Murray struggled with her decision all the way up to Election Day.

But when the time came, the 54-year-old Georgia Democrat cast a ballot in last week's Republican primary for Secretary of State Brad Raffensperger. While state law allowed her to participate in either party's primary, she said it felt like a violation of her core values to vote for the Republican. But it had to be done, she decided, to prevent a Donald Trump -backed “election denier” from becoming the battleground state's election chief.

“I feel strongly that our democracy is at risk, and that people who are holding up the big lie, as we call it, and holding onto the former president are dangerous to democracy,” said Murray, who works at the University of Georgia. “I don’t know I’ll do it again because of how I felt afterward. I just felt icky.”",0,Supports
14 percent of non US citizens are registered to vote.,https://www.sos.ca.gov/elections/frequently-asked-questions,"To register to vote in California, you must be: A United States citizen and a resident of California,; 18 years old or older on Election Day,; Not currently ...",1,Supports
14 percent of non US citizens are registered to vote.,https://www.thelocal.es/20220526/which-spanish-elections-can-foreigners-vote-in/,"EU citizens

EU citizens living in Spain can vote in local and European elections, and can even be elected as mayors and local councilors. EU citizens who live in another EU member state can vote or stand or run in local and European elections across the block, but cannot vote in national or general elections.

This means that any EU citizen resident in Spain may vote in local or European elections, provided they are registered on the population census and have signed the appropriate voting paperwork.",0,Supports
14 percent of non US citizens are registered to vote.,https://www.usnews.com/debate-club/should-photo-id-be-required-to-vote/voter-id-laws-are-designed-to-keep-people-from-voting,"All men are created equal, says the Declaration of Independence. But not all voter ID laws. Some (like the one in federal law) are flexible, to try to make sure that every eligible citizen can be identified and can vote. Others are stricter, designed in a way that will keep large swaths of the population from voting. Unfortunately, there has been a concerted effort to push strict voter ID laws this past year—an effort that has resulted in eight new laws requiring voters to show forms of ID that many Americans don't have.

More than 20 million Americans—one in 10 eligible voters—do not have the kinds of photo ID required by strict new state voter ID laws, according to research by the Brennan Center and others. Some are even harder hit: Eighteen percent of older Americans, 18 percent of citizens aged 18 to 24, and 25 percent of African-Americans don't have these kinds of photo IDs. It is wrong to pass laws that block some Americans from voting and to deny them the opportunity to participate equally in our democracy.

These ID laws affect real people.",0,Supports
2.7% of the USA's wealth is spent on R&D.,https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP) from The World Bank: Data.",0,Supports
2.7% of the USA's wealth is spent on R&D.,https://sipri.org/sites/default/files/2021-04/fs_2104_milex_0.pdf,"2020 were the United States,. China, India, Russia and the. United Kingdom, which together accounted for 62 per cent of world military spending.",0,Refutes
2.7% of the USA's wealth is spent on R&D.,https://www.bls.gov/opub/mlr/2014/article/consumer-spending-and-us-employment-from-the-recession-through-2022.htm,"In the latest recession, employment supported by U.S. consumer spending in response to reductions in income, wealth, confidence, and credit access.",0,Supports
2.7% of the USA's wealth is spent on R&D.,https://www.brookings.edu/blog/up-front/2020/02/27/examining-the-black-white-wealth-gap/,"A close examination of wealth in the U.S. finds evidence of staggering racial disparities. At $171,000, the net worth of a typical white",0,Supports
2.7% of the USA's wealth is spent on R&D.,https://www.census.gov/manufacturing/m3/adv/pdf/durgd.pdf,"Source: U.S. Census Bureau, Manufacturers' Shipments, Inventories, and Orders, June 27, 2022. Page 2. Data Inquiries. Media Inquiries. Economic",0,Supports
2.7% of the USA's wealth is spent on R&D.,https://www.census.gov/retail/marts/www/marts_current.pdf,"Advance estimates of U.S. retail and food services sales for April 2022, represent what's commonly referred to as consumer spending.",0,Supports
2.7% of the USA's wealth is spent on R&D.,https://www.defense.gov/News/News-Stories/Article/Article/2639101/dod-budget-request-boosts-research-nuclear-modernization-and-includes-27-pay-ra/,The budget provides a 2.7% pay raise for both military and and drawing down U.S. forces from Afghanistan with an exit date of Sept.,0,Supports
2.7% of the USA's wealth is spent on R&D.,https://www.epi.org/blog/the-racial-wealth-gap-how-african-americans-have-been-shortchanged-out-of-the-materials-to-build-wealth/,"Wealth allows families to transfer income earned in the past to meet spending demands in the future, such as by building up savings to finance a",0,Supports
2.7% of the USA's wealth is spent on R&D.,https://www.fatf-gafi.org/faq/moneylaundering/,"The report estimates that in 2009, criminal proceeds amounted to 3.6% of global GDP, with 2.7% (or USD 1.6 trillion) being laundered. This falls within the ...",0,Refutes
2.7% of the USA's wealth is spent on R&D.,https://www.healthsystemtracker.org/chart-collection/how-have-healthcare-utilization-and-spending-changed-so-far-during-the-coronavirus-pandemic/,"The U.S. GDP fell by 3.5% by the end of 2020, meaning that,",0,Refutes
2.7% of the USA's wealth is spent on R&D.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4802700/,"Dasbach E, Insinga R, Elbasha E. The epidemiological and economic A recent US study estimated that every dollar spent on childhood",1,Supports
2.7% of the USA's wealth is spent on R&D.,https://www.nsf.gov/statistics/2020/nsf20309/nsf20309.pdf,"2.7% annual average for U.S. total Expenditure levels for higher education, federal government, R&D performed in the domestic.",1,Supports
2.7% of the USA's wealth is spent on R&D.,https://www.pewresearch.org/fact-tank/2018/08/07/for-most-us-workers-real-wages-have-barely-budged-for-decades/,"Average hourly earnings for non-management private-sector workers in July were $22.65, up 3 cents from June and 2.7% above the average wage",0,Supports
2.7% of the USA's wealth is spent on R&D.,https://www.prisonpolicy.org/reports/money.html,"Almost half of the money spent on running the correctional system goes of 2.7%, which allowed us to estimate $13.4 million in profits.",0,Supports
2.7% of the USA's wealth is spent on R&D.,https://www.reuters.com/world/us/bidens-defense-budget-gives-troops-27-raise-2021-05-28/,U.S. President Joe Biden's $715 billion Department of Defense budget includes a 2.7% pay raise for troops and shifts billions in spending,0,Supports
2.7% of the USA's wealth is spent on R&D.,https://www.sipri.org/sites/default/files/2021-04/fs_2104_milex_0.pdf,"2020 were the United States,. China, India, Russia and the. United Kingdom, which together accounted for 62 per cent of world military spending.",0,Refutes
2.7% of the USA's wealth is spent on R&D.,https://www.unodc.org/documents/data-and-analysis/Studies/Illicit_financial_flows_2011_web.pdf,"'consensus range', equivalent to some 2.7 per cent of global GDP (2.1 – 4 per cent) or US$1.6 trillion in. 2009. From this figure, money flows related to ...",0,Supports
40% of the Bolivian population lives in slums.,https://data.worldbank.org/indicator/EN.POP.SLUM.UR.ZS,United Nations Human Settlements Programme ( UN-HABITAT ). License : CC BY-4.0. LineBarMap. Share Details. Label. 2000 2005 2010 2015 28 34 40 World.,1,Supports
40% of the Bolivian population lives in slums.,https://en.mercopress.com/2012/07/05/paraguay-s-destructive-soy-boom,"Paraguay's Destructive Soy Boom

5th Thursday, July 2012 - 08:06 UTC Full article

Jeremy Hobbs is executive director of Oxfam International",0,Supports
40% of the Bolivian population lives in slums.,https://esa.un.org/unpd/wup/publications/files/wup2014-highlights.pdf,"In contrast, Africa and Asia remain mostly rural, with 40 and 48 per cent of their respective populations living in ur- ban areas. All regions are expected to ...",1,Supports
40% of the Bolivian population lives in slums.,https://openknowledge.worldbank.org/bitstream/handle/10986/23751/Indigenous0Lat0y000the0first0decade.pdf,"Peru, and Bolivia had the largest populations in both absolute and proportional terms, The percentage of indigenous people living in slums.",1,Supports
40% of the Bolivian population lives in slums.,https://ourworldindata.org/urbanization,"The share of the urban population living in slums by country is shown in the chart. Asia, and Africa lie somewhere in the range of 10 to 40%. There are",0,Supports
40% of the Bolivian population lives in slums.,https://population.un.org/wup/publications/Files/WUP2018-Report.pdf,40. Table II.3. The 30 countries with the largest increases and declines in rural urban population living in slums declined by 20 per cent (from 28.4 to,0,Refutes
40% of the Bolivian population lives in slums.,https://www.habitat.org/media/4031/view,"Indicator 11.1.1: Proportion of urban population living in slums, informal settlements 40. (2018). 18 UN-HABITAT. “World Cities Report 2020,” (2020).",1,Supports
40% of the Bolivian population lives in slums.,https://www.palestinechronicle.com/bolivia-fascism-seizes-power/,"By James Petras

Bolivian fascists have seized power in five of the richest states in Bolivia, forcefully ousting all national officials, murdering, injuring and assaulting leaders, activists and voters who have backed the national government – with total impunity. Ever since Evo Morales was elected President over 33 months ago, the Bolivian far-right has taken advantage of every concession, compromise and conciliatory gesture by the Morales regime to expand their political power, block even the mildest social reforms and paralyze the functioning of the government, through legal maneuvers and gangs of violent street thugs.

",1,Supports
40% of the Bolivian population lives in slums.,https://www.pewresearch.org/religion/2014/11/13/religion-in-latin-america/,Latin America is home to more than 425 million Catholics – nearly 40% of the world's total Catholic population – and the Roman Catholic,1,Supports
40% of the Bolivian population lives in slums.,https://www.savethechildren.org/us/where-we-work/bolivia,The country is also among the world's poorest. Nearly 40% of Bolivia's people live in poverty – and that rate increases dramatically in vulnerable ...,1,Supports
40% of the Bolivian population lives in slums.,https://www.un.org/millenniumgoals/2015_MDG_Report/pdf/MDG%202015%20rev%20(July%201).pdf,"New HIV infections fell by approximately 40 per cent between 2000 and 2013, The proportion of urban population living in slums in the developing regions",0,Supports
40% of the Bolivian population lives in slums.,https://www.worldbank.org/en/news/press-release/2018/10/17/nearly-half-the-world-lives-on-less-than-550-a-day,The share of the world's population living in extreme poverty fell The report finds that the incomes of the poorest 40 percent grew in,0,Supports
40% of the Bolivian population lives in slums.,https://www.worldbank.org/en/topic/urbandevelopment/overview,"Today, over 4 billion people around the world – more than half the global population – live in cities. This trend is expected to continue.",0,Supports
"5,000 workers earned less than minimum wage in Hawaii, in 2013",https://labor.hawaii.gov/wp-content/uploads/2013/03/New-Employer-Packet-3-14-13.pdf,Employers must provide health care coverage to employees who work at least twenty (20) hours per week and earn 86.67 times the current Hawaii minimum wage a ...,0,Supports
"5,000 workers earned less than minimum wage in Hawaii, in 2013",https://poverty.ucdavis.edu/faq/what-are-annual-earnings-full-time-minimum-wage-worker,"Despite these recent increases in state minimum wages, minimum wages at the federal and most state levels are still below the peak of its real",0,Supports
"5,000 workers earned less than minimum wage in Hawaii, in 2013",https://www.bls.gov/regions/new-england/news-release/2014/pdf/minimumwageworkers_newhampshire_20140613.pdf,"federal minimum wage of $7.25 per hour, while 5,000 earned less, the U.S. Bureau The percentage of workers earning less than the federal.",1,Supports
"5,000 workers earned less than minimum wage in Hawaii, in 2013",https://www.bls.gov/regions/west/news-release/minimumwageworkers_hawaii.htm,"Of the 325000 workers paid hourly rates in Hawaii in 2013, The percentage of workers earning less than the federal minimum fell 0.6",0,Supports
"5,000 workers earned less than minimum wage in Hawaii, in 2013",https://www.commonwealthfund.org/publications/scorecard/2013/sep/health-care-two-americas-findings-scorecard-state-health-system,"Wide state differences in health care for low-income populations are residents age 25 and older were below 5,000 per 100,000 population.",0,Supports
"5,000 workers earned less than minimum wage in Hawaii, in 2013",https://www.epi.org/publication/bp357-federal-minimum-wage-increase/,"This erosion has contributed to the growth of income inequality, leaving the economy less vibrant than if incomes were distributed more",0,Supports
"5,000 workers earned less than minimum wage in Hawaii, in 2013",https://www.epi.org/publication/raising-the-minimum-wage-to-12-by-2020-would-lift-wages-for-35-million-american-workers/,"Annual wage income for a full-time minimum-wage worker, compared with various poverty thresholds, 1964–2014 and 2015–2020 (projected under Raise",0,Supports
"5,000 workers earned less than minimum wage in Hawaii, in 2013",https://www.governing.com/archive/minimum-wage-workers-by-state-statistics-2013-totals.html,"By comparison, less than 2 percent of hourly employees earned federal minimum wages or less in Oregon, California and Washington.",0,Supports
"5,000 workers earned less than minimum wage in Hawaii, in 2013",https://www.marylandtaxes.gov/individual/income/filing/index.php,Your Maryland gross income is less than the minimum filing level for your,0,Supports
"5,000 workers earned less than minimum wage in Hawaii, in 2013",https://www.statista.com/statistics/238997/minimum-wage-by-us-state/,How much is minimum wage? Number of workers paid hourly rates with earnings at or below minimum wage in the United +. Economy.,0,Supports
5.0% of the US labor force is unemployed,https://247wallst.com/state/how-ohios-economy-compares-to-other-states/,"How Ohio's Economy Compares to Other States

The COVID-19 pandemic sent economic shockwaves through the U.S. economy, tripling the monthly unemployment to nearly 15% and leading to a more than 30% quarterly decline in GDP — by far the largest economic contraction in U.S. history.

No corner of the country was untouched by the pandemic’s economic consequences — but some states have emerged better off than others. A range of factors, including industrial diversity, labor force education levels, household income, and long-term GDP growth, have an effect on a state’s overall economic strength — and its ability to withstand the impact of the pandemic.",0,Supports
